 ~-~-~HERD IMMUNITY SIMULATION~-~-~

Population Size: 10000
 Initially Vaccinated: 78.0%
 Initially Infected: 87
 Virus: Flu
 Mortality Rate: 0.64
 Reproductive Rate: 0.31
 ~ beginning simulation...
Person #7876 survived. 
Person #7809 died. 
Person #7842 survived. 
Person #7807 survived. 
Person #7871 survived. 
Person #7823 died. 
Person #7853 died. 
Person #7825 survived. 
Person #7856 died. 
Person #7802 died. 
Person #7872 died. 
Person #7827 survived. 
Person #7861 died. 
Person #7812 survived. 
Person #7837 died. 
Person #7835 survived. 
Person #7867 died. 
Person #7878 survived. 
Person #7805 died. 
Person #7831 survived. 
Person #7857 died. 
Person #7811 died. 
Person #7885 survived. 
Person #7801 died. 
Person #7817 survived. 
Person #7815 died. 
Person #7849 survived. 
Person #7846 died. 
Person #7883 died. 
Person #7865 survived. 
Person #7804 died. 
Person #7862 died. 
Person #7834 survived. 
Person #7844 died. 
Person #7820 survived. 
Person #7881 survived. 
Person #7826 died. 
Person #7839 survived. 
Person #7858 survived. 
Person #7841 survived. 
Person #7838 died. 
Person #7808 survived. 
Person #7836 died. 
Person #7832 died. 
Person #7863 survived. 
Person #7830 died. 
Person #7874 died. 
Person #7813 died. 
Person #7859 died. 
Person #7879 died. 
Person #7806 survived. 
Person #7873 survived. 
Person #7852 died. 
Person #7877 died. 
Person #7851 died. 
Person #7882 survived. 
Person #7821 died. 
Person #7803 died. 
Person #7840 died. 
Person #7884 died. 
Person #7829 died. 
Person #7866 died. 
Person #7824 died. 
Person #7887 died. 
Person #7843 died. 
Person #7880 died. 
Person #7818 survived. 
Person #7868 died. 
Person #7814 died. 
Person #7864 died. 
Person #7819 survived. 
Person #7854 died. 
Person #7845 died. 
Person #7816 died. 
Person #7870 died. 
Person #7848 died. 
Person #7828 survived. 
Person #7822 survived. 
Person #7810 died. 
Person #7875 died. 
Person #7850 died. 
Person #7869 survived. 
Person #7886 died. 
Person #7860 died. 
Person #7833 survived. 
Person #7855 died. 
Person #7847 died. 
~~Step 0~~
 Newly infected: 536
 New deaths: 56
 Amount alive: 9944
 Amount vaccinated: 7831
 Amount dead: 56
Time step 0 ended, beginning 1
~~~
Person #8939 survived. 
Person #8899 survived. 
Person #9387 died. 
Person #9707 died. 
Person #8700 died. 
Person #9523 died. 
Person #8892 died. 
Person #9010 survived. 
Person #8178 died. 
Person #9963 died. 
Person #9025 died. 
Person #9227 died. 
Person #7930 died. 
Person #8401 survived. 
Person #9647 died. 
Person #9615 survived. 
Person #9987 died. 
Person #8994 survived. 
Person #9453 survived. 
Person #9460 died. 
Person #7987 survived. 
Person #8497 died. 
Person #8554 survived. 
Person #9776 survived. 
Person #8406 died. 
Person #8396 died. 
Person #8862 survived. 
Person #8743 survived. 
Person #9040 died. 
Person #8917 died. 
Person #9199 died. 
Person #8581 died. 
Person #9233 died. 
Person #7968 survived. 
Person #9088 died. 
Person #9379 died. 
Person #7971 survived. 
Person #9412 died. 
Person #9513 survived. 
Person #9138 died. 
Person #8072 died. 
